Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,155006,2017-01-06,au,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,151511,2017-01-06,au,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,133181,2017-01-06,au,5aAx2yezTd8zXrkmtKl66Z
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,127685,2017-01-06,au,5knuzwU65gJK7IF5yJsuaW
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,123248,2017-01-06,au,3NdDpSvN911VPGivFlV5d0
6,Closer (feat. Halsey),The Chainsmokers,119989,2017-01-06,au,7BKLCZ1jbUBVqRi2FVlTVw
7,I Feel It Coming,The Weeknd,112265,2017-01-06,au,5GXAXm5YOmYT0kL5jHvYBt
8,Call On Me - Ryan Riback Extended Remix,Starley,108094,2017-01-06,au,78rIJddV4X0HkNAInEcYde
9,Say You Won't Let Go,James Arthur,101218,2017-01-06,au,5uCax9HTNlzGybIStD3vDh
10,Sexual,NEIKED,100852,2017-01-06,au,3AsAuGTaDQzavZZThyYlop
11,Don't Wanna Know,Maroon 5,95891,2017-01-06,au,5MFzQMkrl1FOOng9tq6R9r
12,Stranger,Peking Duk,95666,2017-01-06,au,0jVPEBd4wyHupkTHwzQRyc
13,The Mack,Nevada,95616,2017-01-06,au,7aV2mflaASUmGhCErm7kBO
14,Love$ick,Mura Masa,94378,2017-01-06,au,5v9N8Rx3QsFvr50cxyQcA3
15,Let Me Love You,DJ Snake,89725,2017-01-06,au,4pdPtRcBmOSQDlJ3Fk945m
16,24K Magic,Bruno Mars,89648,2017-01-06,au,6b8Be6ljOzmkOmFslEb23P
17,I Would Like,Zara Larsson,87684,2017-01-06,au,4Q4jmPHwu0wrJvqrld0FQ6
18,Black Beatles,Rae Sremmurd,86881,2017-01-06,au,6fujklziTHa8uoM5OQSfIo
19,Fresh Eyes,Andy Grammer,84123,2017-01-06,au,4nMlau89VAjmV7agkl7OY3
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,83789,2017-01-06,au,6DNtNfH8hXkqOX1sjqmI7p
21,Fake Love,Drake,82593,2017-01-06,au,343YBumqHu19cGoGARUTsd
22,Capsize,FRENSHIP,81401,2017-01-06,au,2XMTqoHHSH0lvuXrvIEdco
23,Chameleon,PNAU,81303,2017-01-06,au,4rex1k9pBVFaIVKBBssZzi
24,Scars To Your Beautiful,Alessia Cara,80962,2017-01-06,au,0prNGof3XqfTvNDxHonvdK
25,Just Hold On,Steve Aoki,80502,2017-01-06,au,3EmmCZoqpWOTY1g2GBwJoR
26,All We Know,The Chainsmokers,79890,2017-01-06,au,2rizacJSyD9S1IQUxUxnsK
27,All Night,The Vamps,76418,2017-01-06,au,1yNyoWWWikbLhwIGWjZuDW
28,In the Name of Love,Martin Garrix,74101,2017-01-06,au,04DwTuZ2VBdJCCC5TROn7L
29,My Way,Calvin Harris,73145,2017-01-06,au,1vvNmPOiUuyCbgWmtc6yfm
30,Now and Later,Sage The Gemini,73109,2017-01-06,au,43jBqV3j3Xi1g6wO0bhIMd
31,Bad Things (with Camila Cabello),Machine Gun Kelly,72721,2017-01-06,au,1PSBzsahR2AKwLJgx8ehBj
32,By Your Side,Jonas Blue,72598,2017-01-06,au,1D3ODoXHBLpdxolZRHWV1j
33,Cocoon,Milky Chance,71727,2017-01-06,au,0L87MffumRNWrY2SNUFcvs
34,Starving,Hailee Steinfeld,69858,2017-01-06,au,1qOLh0tI7trd1zdDKxYZTe
35,Shed a Light,Robin Schulz,69697,2017-01-06,au,1cG0umU5TKStygKsPFZ9pY
36,Catch 22 (feat. Anne-Marie),Illy,68164,2017-01-06,au,2bWrml86uwGVvznX8KKtwx
37,Say It (feat. Tove Lo),Flume,63853,2017-01-06,au,4sQMalN597HdggTu196aL0
38,One Dance,Drake,62476,2017-01-06,au,1xznGGDReH1oQq0xzbwXa3
39,Side To Side,Ariana Grande,61953,2017-01-06,au,4pLwZjInHj3SimIyN9SnOz
40,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,59589,2017-01-06,au,2wDjpPW3HZdA9quPPmZAMu
41,Mercy,Shawn Mendes,58723,2017-01-06,au,4TZy1wLyHec06pwgFYDh1a
42,The Ocean (feat. Shy Martin),Mike Perry,56991,2017-01-06,au,2CPqh63wRVscbceKcPxwvv
43,The Greatest (feat. Kendrick Lamar),Sia,55164,2017-01-06,au,7xHWNBFm6ObGEQPaUxHuKO
