Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,9162,2017-01-06,py,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,9084,2017-01-06,py,6mICuAdrwEjh6Y6lroV2Kg
3,Otra vez (feat. J Balvin),Zion & Lennox,8851,2017-01-06,py,3QwBODjSEzelZyVjxPOHdq
4,Safari,J Balvin,7993,2017-01-06,py,6rQSrBHf7HlZjtcMZ4S4bO
5,Vente Pa' Ca,Ricky Martin,6646,2017-01-06,py,7DM4BPaS7uofFul3ywMe46
6,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,5867,2017-01-06,py,6stYbAJgTszHAHZMPxWWCY
7,Vacaciones,Wisin,5788,2017-01-06,py,3dQDid3IUNhZy1OehIfYfE
8,Deu Onda,MC G15,5761,2017-01-06,py,0EPxmvsG1BY5td4aTOkWBF
9,Let Me Love You,DJ Snake,5649,2017-01-06,py,4pdPtRcBmOSQDlJ3Fk945m
10,Dile Que Tu Me Quieres,Ozuna,5577,2017-01-06,py,20ZAJdsKB5IGbGj4ilRt2o
11,Closer (feat. Halsey),The Chainsmokers,5028,2017-01-06,py,7BKLCZ1jbUBVqRi2FVlTVw
12,Cuatro Babys,Maluma,4783,2017-01-06,py,0JoHqmlqE0W0i9prt6kcHR
13,Me Llamas (feat. Maluma) - Remix,Piso 21,4710,2017-01-06,py,5hEM0JchdVzQ5PwvSfITeX
14,Don't Wanna Know,Maroon 5,4544,2017-01-06,py,5MFzQMkrl1FOOng9tq6R9r
15,Bailame Despacio,Xantos,4288,2017-01-06,py,4OaTpLJIa2harufGxfOPUu
16,Traicionera,Sebastian Yatra,4163,2017-01-06,py,5J1c3M4EldCfNxXwrwt8mT
17,In the Name of Love,Martin Garrix,4149,2017-01-06,py,04DwTuZ2VBdJCCC5TROn7L
18,Starboy,The Weeknd,4048,2017-01-06,py,5aAx2yezTd8zXrkmtKl66Z
19,Gyal You A Party Animal - Remix,Charly Black,4002,2017-01-06,py,1AkTW13ysu0AJrwuM6UY0I
20,My Way,Calvin Harris,3946,2017-01-06,py,1vvNmPOiUuyCbgWmtc6yfm
21,Te Quiero Pa´Mi,Don Omar,3862,2017-01-06,py,3BY2mafsbsoKGqS380Xnuz
22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,3854,2017-01-06,py,6DNtNfH8hXkqOX1sjqmI7p
23,Shaky Shaky,Daddy Yankee,3816,2017-01-06,py,58IL315gMSTD37DOZPJ2hf
24,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,3721,2017-01-06,py,4vlbjBSMqycZk6t4HVRpnC
25,24K Magic,Bruno Mars,3683,2017-01-06,py,6b8Be6ljOzmkOmFslEb23P
